Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Burgus;Ein Burgus ist eine Befestigungsanlage, die vom 2. Jahrhundert bis zum 4. Jahrhundert n. Chr. zum Schutz von Grenzen, Straßen oder ländlichen Orten angelegt wurde und nur mit einer kleineren Truppeneinheit besetzt ist.;Burgi bestehen meist aus einer quadratischen, von Wall und Graben umgebenen Wehranlage, in der Kasernenbauten oder ein Wehrturm stehen konnten. Sie können auch in Verbindung zu einem Landgut stehen und dienten dann der Verteidigung der und durch die Landbevölkerung.;;;
Bustum;Ein Bustum ist ein Brandgrab, in dem der Leichnam verbrannt und bestattet wird.;Der Leichnam wurde in einem Scheiterhaufen über der späteren Grabgrube verbrannt, die Brandreste fielen dabei in die Grube. Daher sind die Ränder dieser Gräber durch das Feuer rot verziegelt. Nach der Einäscherung des Leichnams konnten die Reste ausgelesen, in eine Urne gefüllt und getrennt von dem Brandschutt bestattet werden. Zusätzlich konnten unverbrannte Beigaben mitgegeben werden.;;;
Canabae legionis;Eine Canabae Legionis ist eine Siedlung, die außerhalb eines römischen Lagers und entlang einer zum Lager führenden Straße angelegt ist, selbst aber nicht-militärischen Charakter aufweist.;Sie besitzt eine eigene Verwaltung, diente vorwiegend der Versorgung der Militäreinheiten und weist daher gewerbliche Einrichtungen sowie Wohn-, Handwerks- und Wirtschaftsbauten auf.;;;
Cella memoria;Eine Cella memoria ist ein Grabbau, der in der Spätantike und dem frühen Mittelalter dem Gedenken von Bestatteten diente.;Bei einer Cella memoria handelt es sich um ein kleineres, rechteckiges Gebäude ohne kirchliche Einrichtungen. Sie kann einen christlichen wie einen heidnischen Hintergrund haben.;;;
Colonia (Siedlung);Eine Colonia ist eine Siedlung, die in den römischen Provinzen geplant angelegt wurde.;In einer frühen Phase dienten sie der Kontrolle der besetzten Gebiete mit militärischen Mitteln, später entwickelten sich daraus Verwaltungsorte und Versorgungsorte für das Umland.;;;
Contrescarpe;Eine Contrescarpe ist ein Bestandteil einer Festung, der die Feldseite eines Festungsgrabens bezeichnet.;;;;
Darre;Eine Darre ist eine Trockenanlage, die dazu dient, pflanzliche Erzeugnisse durch Trocknen und leichtes Rösten haltbar zu machen.;;;;
Deckungsgraben;;;;;
Deich;Ein Deich ist ein Damm, der zum Schutz vor Überschwemmungen oder zum Schutz tiefer liegender Gebiete entlang von Flüssen und Meeresküsten aufgeschüttet wird.;;;;
Depot (Archäologie);Ein Depot ist ein archäologischer Befund, in dem mehrere Gegenstände zu einem Zeitpunkt niedergelegt wurden, im Sinne einer willentlichen Entäußerung.;;;;
