Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Tasse;Eine Tasse ist ein Trinkgefäß mit Henkel für Heißgetränke, meist aus Keramik, dessen Form schalenförmig bis becherförmig ist. Es besitzt üblicherweise einen kleinen Standring und oft gehört eine Untertasse dazu. Bei größeren Tassen besteht eine Überschneidung mit Henkelbechern.;;;;
Taufbecken;Ein Taufbecken ist ein Behälter in Form eines Beckens, das der Aufnahme von Taufwasser dient.;;"Benutzt für das nicht transportable Taufgefäß; für die zur Kirchenausstattung gehörende und zur Aufnahme des Taufwassers dienende, transportable Schale siehe Taufschale.";;
Tegula (Dachziegel);Eine Tegula ist ein rechteckiger, flacher römischer Dachziegel mit hochgezogenen Leisten an den beiden Seitenflächen. Über die aneinanderstoßenden seitlichen Leisten zweier Tegulae wird zur Abdichtung der Dachbedeckung ein halbröhrenförmiger Imbrex gelegt.;In archäologischen Fundkontexten sind Tegulae vor allem aus Städten, Siedlungen und Militärlagern der römischen Provinzen bekannt. Nicht selten tragen sie einen Herstellerstempel oder einen Abdruck einer Tierpfote.;;;
Teller (Essgeschirr);Ein Teller ist ein flaches, gegliedertes Gefäß zum Servieren oder für den Verzehr von Lebensmitteln. Teller besitzen in der Regel eine muldenförmige Vertiefung, sind in ihrer klassischen Ausführung rund und haben einen Durchmesser von circa 26 cm. Sie besitzen häufig einen glatten Standboden, einen abgesetzten Standring, selten einen Standfuß.;Im Unterschied zur Platte (Geschirr) sind die einzelnen Gefäßzonen eines Tellers meist deutlicher abgesetzt. Teller sind in der Regel kleiner als Platten.;;;
Terrine (Gefäß);Eine Terrine ist eine dickbauchige Schüssel mit Deckel, die oft auch einen oder mehrere Standfüße sowie zwei gegenständige Griffe besitzt. Der Deckel kann eine Aussparung für einen Schöpflöffel aufweisen. Darüber hinaus existieren auch figürliche Terrinen, oft in Form von Tieren oder Tierköpfen.;;;;
Textilerzeugnis;;;"Benutzt für gegenständliche Erzeugnisse aus Textilien; für Stoffe und Fasern siehe Material.";;
Textilfaser;;;;;
Thermisch stimulierte Lumineszenzprobe;Eine thermisch stimulierte Lumineszenzprobe ist eine Materialprobe, die mit Hilfe einer Lumineszenz-Methode datiert wird.;;;;
Tiegel;;;;;
Tierhorn;Ein Tierhorn ist ein Bestandteil von Tieren, der als Auswuchs an den Stirnknochen von Hornträgern und Nashörnern zu finden ist.;;;;
Tierischer Überrest;Tierischer Überrest ist ein organischer Überrest, der von Tieren stammt.;;;;
Tintenfass;Ein Tintenfass ist ein Behälter, in den Tinte gefüllt werden kann und der so geformt ist, dass Schreibfedern in die Flüssigkeit eingetaucht werden können.;;;;
Tisch;Ein Tisch ist ein Ablagemöbel, das aus einer waagerechten Platte besteht, die auf einem oder mehreren Tragelementen ruht.;;;;
Toilettegerät;Ein Toilettegerät ist ein Gerät zur Körperpflege, Hygiene und Gesundheitsvorsorge, das in der Regel aus Metall oder Knochen gefertigt war.;Toilettegeräte, häufig als Bestandteil von Toilettebestecken unterschiedlichen Geräteumfangs, können beispielsweise Pinzetten, Ohrlöffel, Sonden oder Nagelschneider sein. Sie fanden unterschiedlichen Einsatz in der Leibespflege wie beispielsweise zur Nagel-, Haar-, Bart- oder Zahnpflege. Die Werkzeuge wurden in der Regel aus Eisen, einer Kupferlegierung oder Knochen gefertigt.;"Nur im historischen und archäologischen Kontext zu verwenden.
Überschneidung mit medizinischem Gerät.";;
Topf (Behälter);Ein Topf ist ein getöpfertes Gefäß für Lebensmittel, das eine zylindrische bis bauchige oder leicht konische und eher hohe Form ohne Hals und mit einer weiten Öffnung besitzt.;;Benutzt für vor- und frühgeschichtliche Funde. Für Kochgefäße in Topfform benutze Kochtopf, für Pflanzgefäße benutze Blumentopf.;;
Töpfereigerät;;;;;
Töpferofen;Ein Töpferofen ist ein Brennofen, in dem aus Ton gefertigte Waren zur Gebrauchsfähigkeit fest gebrannt werden. Dessen Bau, Form und Einrichtungen richten sich nach der Beschaffenheit der zu brennenden Ware und des Brennmaterials.;;;;
Tor (Architektur);Ein Tor ist ein Bauteil, das als Durchgang oder Durchfahrt für Tiere und Fahrzeuge genutzt wird und in der Regel verschließbar ist.;;"Benutzt für das als Durchgang oder Durchfahrt genutzte funktionelle Architekturelement; für Baukomplexe bei Befestigungen siehe Toranlage.";;
Totenleuchte;Eine Totenleuchte ist ein Bauwerk und ein Denkmal, in Form eines tabernakelartigen Türmchens, das auf einem Friedhof errichtet wird und zur Aufnahme eines Totenlichts bestimmt ist.;;;;
Tragfläche;Eine Tragfläche ist ein flächiges Fahrzeugteil, das üblicherweise als Paar, also an beiden Seiten eines Fahrzeugs, dazu dient, dynamischen Auftrieb aus Vortrieb zu erzeugen.;;;;
Trapez (Mikrolith);;;;;
Trense;Eine Trense ist ein Gebiss, das aus einem Mundstück und zwei seitlichen Ringen zur Befestigung der Zügel oder Leinen besteht. Das Mundstück kann ungebrochen (durchgehend) oder gebrochen sein, das heißt mit einem oder mehreren Gelenken. Im Unterschied zur Kandare hat ein Trensengebiss keine Hebelwirkung.;;;;
Treppe;Von Stufen gebildeter Aufgang, der unterschiedlich hoch liegende Ebenen innerhalb und außerhalb von Gebäuden verbindet bzw. an Steigungen im Gelände angelegt ist.;;;;
Treppengeländer;Ein Treppengeländer ist ein Geländer, das sich an der freien Seite von Treppen befindet.;;;;
Treppenstufe;;;;;
Trichter (Gerät);Ein Trichter ist ein Gerät, das im oberen Teil kegelförmig ist und verjüngend ausläuft. Er wird zum Abfüllen bzw. Auffüllen von Substanzen in Behälter benutzt.;;;;
Trinkhorn;Ein Trinkhorn ist ein Trinkgefäß, das aus einem Horn z.B. eines Rindes, gefertigt und häufig mit Metallbeschlägen versehen ist, oder aus anderen Materialien in Form eines Horns nachgebildet ist.;;;;
Triptychon;Ein Triptychon ist ein visuelles Werk, das aus drei Tafeln besteht, von denen die mittlere feststehend ist, während die anderen beiden als klappbare Flügel angebracht sind. Triptychen gibt es sowohl als Gemälde als auch als Schnitzereien.;;;;
Trommel (Musik);;;;;
Trompete;;;;;
Truhe;Eine Truhe ist ein Kastenmöbel, in Form eines rechteckigen, meist länglichen Kastens, der mit einem Klappdeckel verschlossen wird.;;;;
Trümmer (Steinartefakt);;;;;
Tubulus;;;;;
Tür;Eine Tür ist ein Bauteil, der den Durchgang durch eine Wand oder Mauer erlaubt und verschließbar ist.;;;;
Türgriff;;;;;
Türriegel;;;;;
Türschwelle;Eine Türschwelle ist ein Bauteil, das als Bestandteil einiger Türen deren Öffnung nach unten abschließt.;;;;
Uhr;Eine Uhr ist ein Messgerät, auf dem die aktuelle Uhrzeit ablesbar ist oder das eine Zeitspanne misst.;;;;
unbekannt;;;;;
Unifaziales Messer;;;;;
Urne (Grabgefäß);Eine Urne ist ein Zeremonialgefäß zur Aufbewahrung und Bestattung der Überreste, die nach der Verbrennung eines Leichnams verbleiben, vor allem Leichenbrand oder Asche, sowie in vorchristlicher Zeit von Grabbeigaben. Sie hat meist eine bauchige Form und wird in der Regel verschlossen.;;;;
Verbindungselement;;;;;
Verschluss (Vorrichtung);Ein Verschluss ist ein Bekleidungsbestandteil, mit dem ein Kleidungsstück oder Teile davon geschlossen werden können.;;;;
Vollkern;;;;;
Vortragekreuz;;;;;
Votivinschrift;;;;;
Waage (Messgerät);Eine Waage ist ein Messgerät, mit dessen Hilfe die Körpermasse ermittelt wird. Die Wägung erfolgt, indem Kräfte miteinander verglichen werden, woraus die Masse ermittelt wird.;;;;
Wachsspatel;;;;;
Waffe;Eine Waffe ist ein Instrument oder eine Vorrichtung, die bei Angriff, Verteidigung oder bei der Jagd zum Verletzen von Lebewesen oder zum Beschädigen von Objekten dient.;;;;
Waffenzubehör;;;;;
Wagen (Fahrzeug);Ein Wagen ist ein nicht spurgebundenes Landfahrzeug, das üblicherweise über zwei Achsen mit je zwei Rädern verfügt und, je nach Ausführung, gezogen oder geschoben wird, in jedem Fall aber über keinen eigenen Antrieb verfügt.;;"Benutzt für Fahrzeuge ohne Kraftantrieb; für Fahrzeuge mit Kraftantrieb benutze Kraftfahrzeug. Nach Möglichkeit mit Unterbegriff verschlagworten.";;
Wagenrad;Ein Wagenrad ist ein Rad an einem nicht spurgebundenen Wagen, Karren oder Fuhrwerk. Es besteht meist aus Holz und kann metallbereift sein.;;;;
Wand (Architektur);Eine Wand ist ein Architekturelement, das einen Raum in der Senkrechten in voller Höhe und Breite begrenzt. Besteht die Raumbegrenzung aus Mauern, so meint Wand lediglich die sichtbare Oberfläche.;;;;
Wandbehang;;;;;
Wandfliese;Eine Wandfliese ist eine Fliese, die Wände verkleidet.;;;;
Wandmosaik;;;;;
Wandputz;;;;;
Wandscherbe;Eine Wandscherbe ist eine Scherbe aus dem Bereich zwischen Randzone und Boden.;;"Benutzt für Scherben aus Ton, Glas und Porzellan; für Fragmente aus anderen Materialien benutze Gefäßwand.";;
Wandteppich;;;;;
Wangenklappe;Eine Wangenklappe ist Bestandteil eines Helmes, der den Bereich der Wangen vor Stößen und Schlägen schützt. Darüber hinaus erleichtern die Wangenklappen die Befestigung des Helms am Kinn. Nicht selten sind Wangenklappen verziert und können der Kennzeichnung des Besitzers dienen.;Eine Wangenklappe ist in der Regel Bestandteil eines Helmes, der zu militärischen Zwecken genutzt wurde.;;;
Wanne (Behälter);Eine Wanne ist ein Behälter mit einer länglichen, tiefen und offenen Form zur Aufnahme von Flüssigkeiten.;;;;
Wasserrohr;Ein Wasserrohr ist ein Leitungsrohr, das der Bestandteil einer Wasserleitung ist, durch den das Wasser geführt wird.;;;;
Webgewicht;Ein Webgewicht ist der Bestandteil eines Gewichtswebstuhls, der der Straffung der senkrecht hängenden Kettfäden dient.;;;;
Webschwert;Ein Webschwert ist ein Gerät, dessen Form an eine Klinge erinnert. Mit seiner Hilfe wird der Schuss, besonders bei Gewichtswebstühlen, angeschlagen.;;;;
Weihedenkmal;Ein Weihedenkmal ist ein Denkmal, das anlässlich eines Ereignisses einer Person oder einer Gottheit geweiht ist.;;;;
Weihrauchfass;Ein Weihrauchfass ist ein liturgisches Räuchergerät, in dem Weihrauch im Rahmen einer Zeremonie verbrannt wird. Eine typische Form besteht aus einer Schale für die Kohle mit einem durchbrochenen Deckel, die an Ketten aufgehängt ist, damit das Weihrauchfass geschwenkt werden kann.;;;;
Wellenfuß;;;;;
Werkstück;;;;;
Werkzeug;Ein Werkzeug ist ein Gerät, das zur Herstellung oder zur Bearbeitung von Werkstücken oder Rohstoffen verwendet wird.;;Benutzt auch für Werkzeuge, die in Maschinen eingespannt werden (Bearbeitungswerkzeuge) oder umgangssprachlich als Instrumente bezeichnet werden, z.B. ärztliche Instrumente.;;
Wetzstein;Ein Wetzstein ist ein Gerät, das zum Schärfen von Schneiden per Hand genutzt wird.;;;;
Wollkamm;;;;;
Würfel (Spielelement);;;;;
Zahnrad;;;;;
Zange (Gerät);;Zangen dienen zur Fixierung oder Bearbeitung von Werkstücken.;;;
Zapfen (Verbindungselement);;;;;
Zapfhahn;Ein Zapfhahn ist ein Hahn, der an einem Behälter angebracht wird, meist einem Fass, und dazu dient, kontrolliert Flüssigkeit aus diesem Behälter zu entnehmen.;;;;
Zeichnung (visuelles Werk);;;;;
Zeitschrift;Eine Zeitschrift ist ein Periodikum, das in der Regel wöchentlich bis mindestens einmal jährlich erscheint und themenorientierte Beiträge beinhaltet.;Die zu den klassischen gedruckten Informationsquellen  gehörende Zeitschrift erscheint im Allgemeinen in gleicher Einbandform und ist neben der Periodizität durch einen öffentlichen Zugang und eine freie Verfügbarkeit gekennzeichnet. Differenziert wird hauptsächlich zwischen Publikumszeitschrift, Fachzeitschrift und Corporate Publishing.;;;
Zeitung;Eine Zeitung ist ein Periodikum, das täglich oder wöchentlich erscheint und vielseitig über aktuelle Ereignisse in Politik, Wirtschaft, Sport und Kultur informiert.;;;;
Zeitungsständer;Ein Zeitungsständer ist ein Ständer, der zum Aufbewahren von Zeitungen und Illustrierten benutzt wird.;;;;
Ziegelbruch;Ziegelbruch ist Baukeramik, die nicht eindeutig als Dachziegel oder als Mauerziegel zu bezeichnen ist.;;;;
Zinnfigur;;;;;
Zirkel (Technik);;;;;
Zuggeschirr;Ein Zuggeschirr ist Tierausrüstung, mit dem Zugtiere eingespannt werden, um ein Fahrzeug oder ein Gerät, wie etwa einen Pflug, ziehen zu können.;;;;
Zwiebelknopffibel;Eine Zwiebelknopffibel ist eine Fibel mit halbkreisförmig gebogenem Bügel von meist trapezförmigem Querschnitt, einem gerade ausgezogenen, auf der Unterseite auf ganzer Länge mit einer Nadelröhre versehenen Fuß und einem an den Bügelkopf anschließenden langen Querbalken. Am Bügelkopfende und an den Enden des Querbalkens sitzen die namengebenden großen, meist zwiebelförmigen Knöpfe.;;;;
