Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Bogen (Schusswaffe);Ein Bogen ist eine Schusswaffe zum Verschießen von Pfeilen mittels einer gespannten Sehne. Während traditionelle Bögen aus Holz, Horn und Tiersehnen gefertigt wurden, bestehen moderne Bögen in der Regel aus Holz sowie unterschiedlichen Verbundwerkstoffen.;;;;
Bohrer (Steinwerkzeug);Ein Bohrer ist ein Steinwerkzeug, welches mindestens eine retuschierte Spitze oder Zinke hat. Es gibt sehr variable Bohrerformen.;;;;
Bohrer (Werkzeug);Ein Bohrer ist ein Werkzeug zum Zerspanen, das durch Drehbewegung um die eigene Achse Löcher in festen Materialien erzeugt.;;;;
Bolzen (Geschoss);Ein Bolzen ist ein Geschoss für die Armbrust. Es besteht aus einer gedrungenen, meist vierkantigen Spitze, die auf einen Holzstab aufgesetzt ist.;;;;
Bolzen (Verbindungselement);;;;;
Bombe (Sprengkörper);;;Für Sprengkörper, die von einer Treibladung oder manuell eine Initialbeschleunigung erfahren, Granate verwenden. Für Sprengkörper, die verlegt werden und zeitverzögert zünden, Mine verwenden.;;
Boot (Wasserfahrzeug);Ein Boot ist ein meist offenes, kleineres Wasserfahrzeug, das auf dem Wasser schwimmt und dessen Antrieb durch Paddel, Riemen, Segel oder Motoren erfolgt. Wie das Schiff besitzt es einen länglichen Rumpf, selten mehrere, der an einem oder beiden Enden schmal oder spitz zuläuft. Im Unterschied zu diesem ist das Boot aber insgesamt kleiner und aufgrund seiner Bauweise weniger seetüchtig.;;;;
Bootshaken;;;;;
Bratrost;Ein Bratrost ist ein Küchengerät, das zum Braten von Fleisch oder Ähnlichem dient.;;;;
Bratspieß;;;;;
Brennhilfe (Ofen);;;;;
Brett;;;;;
Brief;Ein Brief ist Schriftverkehr, der in der Regel auf Papier verfasst und dann per Post verschickt wird. Ein Brief besteht typischerweise aus den Angaben Ort und Tag des Verfassens, einer Anrede, einem Hauptteil und einer Schlussformel.;;;;
Briefmarke;;;;;
Brosche;Eine Brosche ist eine Schmucknadel zum Anstecken an Kleidungsstücke. Häufig werden Broschen in Brusthöhe getragen, durch modische Impulse aber ebenfalls am Halsausschnitt und an Ärmeln befestigt. Hauptsächlich erfüllen Broschen dekorative Zwecke, können aber auch dem Zusammenhalten leichter Kleidung, Kragen oder Schals dienen. Oft sind sie, angepasst an den vorherrschenden Modestil, kunstvoll verziert.;Eine Brosche besitzt keinen Verschließmechanismus ähnlich einer Sicherheitsnadel.;;;
