Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Asselium;Das Asselium ist das erste und unterste geochronologische Alter des Cisuraliums. Es begann vor etwa 298,9 Millionen Jahren und endete vor etwa 293,52 Millionen Jahren.;;;-298900000;-293520000
Sakmarium;Das Sakmarium ist das zweite geochronologische Alter des Cisuraliums. Es begann vor etwa 293,52 Millionen Jahren und endete vor etwa 290,1 Millionen Jahren.;;;-293520000;-290100000
Artinskium;Das Artinskium ist das dritte geochronologische Alter des Cisuraliums. Es begann vor etwa 290,1 Millionen Jahren und endete vor etwa 283,3 Millionen Jahren.;;;-290100000;-283300000
Kungurium;Das Kungurium ist das vierte und oberste geochronologische Alter des Cisuraliums. Es begann vor etwa 283,3 Millionen Jahren und endete vor etwa 274,4 Millionen Jahren.;;;-283300000;-274400000
Guadalupium;Das Guadalupium ist die mittlere geochronologische Epoche des Perms, die vor etwa 274,4 Millionen Jahren begann und vor etwa 259,51 Millionen Jahren endete.;"Die Bezeichnung ""Rotliegend"" gehört zu dem parallel zum Perm regional verwendeten  Oberbegriff des Dyas, als Teil einer lithostratigraphischen Supergruppe (oder Hauptgruppe) in Mitteleuropa. Das Rotliegend umfasst in seiner Datierung zwar ca. die Perioden des Cisuralium und des Guadalupium, wird heute aber nicht mehr mit den Epochen des Perm gleichgesetzt. Der Begriff wird heute in der Literatur nur noch als Gesteinseinheit (= Einheit der Lithostratigraphie) interpretiert, nicht mehr als Zeitintervall der Erdgeschichte.";;-274400000;-259510000
Roadium;Das Roadium ist das erste und unterste geochronologische Alter des Guadalupiums. Es begann vor etwa 274,4 Millionen Jahren und endete vor etwa 266,9 Millionen Jahren.;;;-274400000;-266900000
Wordium;Das Wordium ist das zweite und mittlere geochronologische Alter des Guadalupiums. Es begann vor etwa 266,9 Millionen Jahren und endete vor etwa 264,28 Millionen Jahren.;;;-266900000;-264280000
Capitanium;Das Capitanium ist das dritte und oberste geochronologische Alter des Guadalupiums. Es begann vor etwa 264,28 Millionen Jahren und endete vor etwa 259,51 Millionen Jahren.;;;-264280000;-259510000
Lopingium;Das Lopingium ist die obere geochronologische Epoche des Perms, die vor etwa 259,51 Millionen Jahren begann und vor etwa 251,902 Millionen Jahren endete.;"Die Bezeichnung ""Zechstein"" gehört zu dem parallel zum Perm regional verwendeten Oberbegriff des Dyas, als Teil einer lithostratigraphischen Supergruppe (oder Hauptgruppe) in Mitteleuropa. Zechstein umfasst in seiner Datierung zwar ca. die Periode des Lopingium, wird heute aber nicht mehr mit den Epochen des Perm gleichgesetzt. Der Begriff wird heute in der Literatur nur noch als Gesteinseinheit (= Einheit der Lithostratigraphie) interpretiert, nicht mehr als Zeitintervall der Erdgeschichte.";;-259510000;-251902000
Wuchiapingium;Das Wuchiapingium ist das erste und unterste geochronologische Alter des Lopingiums. Es begann vor etwa 259,51 Millionen Jahren und endete vor etwa 254,14 Millionen Jahren.;;;-259510000;-254140000
Changhsingium;Das Changhsingium ist das zweite und oberste geochronologische Alter des Lopingiums. Es begann vor etwa 254,14 Millionen Jahren und endete vor etwa 251,902 Millionen Jahren.;;;-254140000;-251902000
Mesozoikum;Das Mesozoikum ist eine geochronologische Ära der Erdgeschichte, die vor etwa 251,902 Millionen Jahren begann und vor etwa 66 Millionen Jahren endete. Sie ist die mittlere Ära des Phanerozoikums und umfasst die Perioden Trias, Jura und Kreide.;;;-251902000;-66000000
Trias;Die Trias ist die untere geochronologische Periode des Mesozoikums, die vor etwa 251,902 Millionen Jahren begann und vor etwa 201,4 Millionen Jahren endete.;;;-251902000;-201400000
Untertrias;Die Untertrias ist die untere geochronologische Epoche der Trias, die vor etwa 251,902 Millionen Jahren begann und vor etwa 246,7 Millionen Jahren endete.;;;-251902000;-246700000
Indusium;Das Indusium ist ein geochronologisches Alter der Untertrias, das vor etwa 251,902 Millionen Jahren begann und vor etwa 249,9 Millionen Jahren endete.;"Das Indusium war früher zusammen mit dem Olenekium ein Teil des Skythiums, dieses ist jedoch kein offiziell anerkannter, internationaler Zeitabschnitt mehr und wird nur noch regional (zum Beispiel in den Alpen) benutzt. Siehe hierzu auch Definition unter ""Trias"" zur Alpinen Trias.";;-251902000;-249900000
Olenekium;Das Olenekium ist ein geochronologisches Alter der Untertrias, das vor etwa 249,9 Millionen Jahren begann und vor etwa 246,7 Millionen Jahren endete.;"Das Olenekium war früher zusammen mit dem Indusium ein Teil des Skythiums, dieses ist jedoch kein offiziell anerkannter, internationaler Zeitabschnitt mehr und wird nur noch regional (zum Beispiel in den Alpen) benutzt. Siehe hierzu auch Definition unter ""Trias"" zur Alpinen Trias.";;-249900000;-246700000
Mitteltrias;Die Mitteltrias ist die mittlere geochronologische Epoche der Trias, die vor etwa 246,7 Millionen Jahren begann und vor etwa 237 Millionen Jahren endete.;;;-246700000;-237000000
Anisium;Das Anisium ist ein geochronologisches Alter der Mitteltrias, das vor etwa 246,7 Millionen Jahren begann und vor etwa 241,464 Millionen Jahren endete.;;;-246700000;-241464000
Ladinium;Das Ladinium ist ein geochronologisches Alter der Mitteltrias, das vor etwa 241,464 Millionen Jahren begann und vor etwa 237 Millionen Jahren endete.;;;-241464000;-237000000
Obertrias;Die Obertrias ist die obere geochronologische Epoche der Trias, die vor etwa 237 Millionen Jahren begann und vor etwa 201,4 Millionen Jahren endete.;;;-237000000;-201400000
Karnium;Das Karnium ist ein geochronologisches Alter der Obertrias, das vor etwa 237 Millionen Jahren begann und vor etwa 227,3 Millionen Jahren endete.;;;-237000000;-227300000
Norium;Das Norium ist ein geochronologisches Alter der Obertrias, das vor etwa 227,3 Millionen Jahren begann und vor etwa 205,7 Millionen Jahren endete.;;;-227300000;-205700000
Rhaetium;Das Rhaetium ist ein geochronologisches Alter der Obertrias, das vor etwa 205,7 Millionen Jahren begann und vor etwa 201,4 Millionen Jahren endete.;;;-205700000;-201400000
Jura (Mesozoikum);Der Jura ist die mittlere geochronologische Periode des Mesozoikums, die vor etwa 201,4 Millionen Jahren begann und vor etwa 143,1 Millionen Jahren endete.;;;-201400000;-143100000
Unterjura;Der Unterjura ist die untere geochronologische Epoche des Juras, die vor etwa 201,4 Millionen Jahren begann und vor etwa 174,7 Millionen Jahren endete.;"Der Begriff gehört zu der lithostratigraphischen Gruppe des sogenannten Süddeutschen Jura. 
Der Schwarze Jura ist die unterste Stufe des Süddeutschen Jura.
Die Grenzen von Süddeutschem Jura und chronostratigraphischen/-chronologischen bzw. internationalem Jura stimmen jedoch nicht genau überein.";;-201400000;-174700000
Hettangium;Das Hettangium ist ein geochronologisches Alter des Unterjuras, das vor etwa 201,4 Millionen Jahren begann und vor etwa 199,5 Millionen Jahren endete.;;;-201400000;-199500000
Sinemurium;Das Sinemurmium ist ein geochronologisches Alter des Unterjuras, das vor etwa 199,5 Millionen Jahren begann und vor etwa 192,9 Millionen Jahren endete.;;;-199500000;-192900000
Pliensbachium;Das Pilensbachium ist ein geochronologisches Alter des Unterjuras, das vor etwa 192,9 Millionen Jahren begann und vor etwa 184,2 Millionen Jahren endete.;;;-192900000;-184200000
Toarcium;Das Toarcium ist ein geochronologisches Alter des Unterjuras, das vor etwa 184,2 Millionen Jahren begann und vor etwa 174,7 Millionen Jahren endete.;;;-184200000;-174700000
Mitteljura;Der Mitteljura ist die mittlere geochronologische Epoche des Juras, die vor etwa 174,7 Millionen Jahren begann und vor etwa 161,5 Millionen Jahren endete.;Dogger ist ein heute veraltetes Synonym für den Braunen Jura/Braunjura und somit kein direktes Synonym für den Hauptbegriff des Mitteljura. Es sollte nicht mehr in Bezug auf den Süddeutschen Rahmen verwendet werden.;;-174700000;-161500000
Aalenium;Das Aalenium ist ein geochronologisches Alter des Mitteljuras, das vor etwa 174,7 Millionen Jahren begann und vor etwa 170,9 Millionen Jahren endete.;;;-174700000;-170900000
Bajocium;;;;-170900000;-168200000
Bathonium;Das Bathonium ist ein geochronologisches Alter des Mitteljuras, das vor etwa 168,2 Millionen Jahren begann und vor etwa 165,3 Millionen Jahren endete.;;;-168200000;-165300000
Callovium;Das Callovium ist ein geochronologisches Alter des Mitteljuras, das vor etwa 165,3 Millionen Jahren begann und vor etwa 161,5 Millionen Jahren endete.;;;-165300000;-161500000
Oberjura;Der Oberjura ist die obere geochronologische Epoche des Juras, die vor etwa 161,5 Millionen Jahren begann und vor etwa 143,1 Millionen Jahren endete.;"In der älteren Literatur, z. T. auch noch in der populärwissenschaftlichen Literatur, wird dieser Abschnitt häufig auch als Malm oder Weißer Jura (Weißjura) bezeichnet. Beide Begriffe sollten aber für die chronostratigraphische Einheit nicht mehr verwendet werden. Sie finden jedoch im Rahmen der lithostratigraphischen Gliederung des Süddeutschen- und Norddeutschen Jura (im Sinne einer Gruppe von Formationen) weiterhin Verwendung. Es werden zwei verschiedene stratigraphische Gliederungen vermischt.";;-161500000;-143100000
Oxfordium;Das Oxfordium ist ein geochronologisches Alter des Oberjuras, das vor etwa 161,5 Millionen Jahren begann und vor etwa 154,8 Millionen Jahren endete.;;;-161500000;-154800000
Kimmeridgium;Das Kimmeridgium ist ein geochronologisches Alter des Oberjuras, das vor etwa 154,8 Millionen Jahren begann und vor etwa 149,2 Millionen Jahren endete.;;;-154800000;-149200000
Tithonium;Das Tithonium ist ein geochronologisches Alter des Oberjuras, das vor etwa 149,2 Millionen Jahren begann und vor etwa 143,1 Millionen Jahren endete.;;;-149200000;-143100000
Kreide (Geologie);Die Kreide ist die obere geochronologische Periode des Mesozoikums, die vor etwa 143,1 Millionen Jahren begann und vor etwa 66 Millionen Jahren endete.;"""Neokom als veraltete Bezeichnung bzw. informeller Begriff für eine Stufe/Alter; entspricht ungefähr Berriasium–Hauterivium (Faupl, 2003) der Unterkreide.""Definition Kategorie ""informeller Begriff"" bei Geosphere: 
Hier werden informelle chronostratigraphische und chronometrische Begriffe behandelt, welche entweder regionalen oder historischen Charakter haben und deshalb nicht in der Internationalen Stratigraphischen Tabelle gelistet sind.";;-143100000;-66000000
Unterkreide;Die Unterkreide ist die untere geochronologische Epoche der Kreide, die vor etwa 143,1 Millionen Jahren begann und vor etwa 100,5 Millionen Jahren endete.;;;-143100000;-100500000
Berriasium;Das Berriasium ist ein geochronologisches Alter der Unterkreide, das vor etwa 143,1 Millionen Jahren begann und vor etwa 137,05 Millionen Jahren endete.;;;-143100000;-137050000
Valanginium;Das Valanginium ist ein geochronologisches Alter der Unterkreide, das vor etwa 137,05 Millionen Jahren begann und vor etwa 132,6 Millionen Jahren endete.;;;-137050000;-132600000
Hauterium;Das Hauterium ist ein geochronologisches Alter der Unterkreide, das vor etwa 132,6 Millionen Jahren begann und vor etwa 125,77 Millionen Jahren endete.;;;-132600000;-125770000
Barremium;Das Barremium ist ein geochronologisches Alter der Unterkreide, das vor etwa 125,77 Millionen Jahren begann und vor etwa 121,4 Millionen Jahren endete.;;;-125770000;-121400000
